permission_code,domain,resource,action,scope,APP_OWNER,SUPER_ADMIN,OPERATIONS_ADMIN,FINANCE_STAFF,HR_ADMIN,MARKETING_ADMIN,SUPERVISOR,WAREHOUSE_MANAGER,SUBSTATION_MANAGER,RIDER,DRIVER,HELPER,DATA_ENTRY,CUSTOMER_SERVICE,STAFF,MERCHANT,CUSTOMER
ADM:ADMIN_DASHBOARD:VIEW:S5_COMPANY,ADM,ADMIN_DASHBOARD,VIEW,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:ADMIN_USERS:VIEW:S5_COMPANY,ADM,ADMIN_USERS,VIEW,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:AUDIT:VIEW:S5_COMPANY,ADM,AUDIT,VIEW,S5_COMPANY,1,1,1,,1,,,,,,,,,,,,
ADM:AUDIT_LOGS:VIEW:S5_COMPANY,ADM,AUDIT_LOGS,VIEW,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:PERMISSION_ASSIGNMENT:VIEW:S5_COMPANY,ADM,PERMISSION_ASSIGNMENT,VIEW,S5_COMPANY,1,1,,,,,,,,,,,,,,,
ADM:SETTINGS:CFG:S5_COMPANY,ADM,SETTINGS,CFG,S5_COMPANY,1,1,1,,1,,,,,,,,,,,,
ADM:SUPERVISOR_AUDIT:VIEW:S5_COMPANY,ADM,SUPERVISOR_AUDIT,VIEW,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:USERS:CREATE:S5_COMPANY,ADM,USERS,CREATE,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:USERS:DISABLE:S5_COMPANY,ADM,USERS,DISABLE,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:USERS:UPDATE:S5_COMPANY,ADM,USERS,UPDATE,S5_COMPANY,1,1,,,1,,,,,,,,,,,,
ADM:USERS:VIEW:S5_COMPANY,ADM,USERS,VIEW,S5_COMPANY,1,1,1,,1,,,,,,,,,,,,
ANA:ANALYTICS:VIEW:S4_REGION,ANA,ANALYTICS,VIEW,S4_REGION,1,1,,1,1,1,1,,,,,,,1,,,
AUTH:PASSWORD:CHANGE:S1_SELF,AUTH,PASSWORD,CHANGE,S1_SELF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUTH:PROFILE:UPDATE:S1_SELF,AUTH,PROFILE,UPDATE,S1_SELF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUTH:PROFILE:VIEW:S1_SELF,AUTH,PROFILE,VIEW,S1_SELF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUTH:SESSION:VIEW:S1_SELF,AUTH,SESSION,VIEW,S1_SELF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
